edge_type,source,target,value
body_extracted_regex,1,8,1
body_extracted_regex,2,1,1
body_extracted_regex,2,9,1
body_extracted_regex,2,123,1
body_extracted_regex,3,1,1
body_extracted_regex,3,2,1
body_extracted_regex,3,50,1
body_extracted_regex,3,123,1
body_extracted_regex,8,9,1
body_extracted_regex,8,16,1
body_extracted_regex,8,34,1
body_extracted_regex,8,65,1
body_extracted_regex,8,66,1
body_extracted_regex,8,68,1
body_extracted_regex,8,112,1
body_extracted_regex,9,16,1
body_extracted_regex,9,34,1
body_extracted_regex,9,65,1
body_extracted_regex,9,66,1
body_extracted_regex,9,68,1
body_extracted_regex,9,112,1
body_extracted_regex,9,113,1
body_extracted_regex,9,141,1
body_extracted_regex,12,11,1
body_extracted_regex,13,12,1
body_extracted_regex,13,16,1
body_extracted_regex,13,17,1
body_extracted_regex,15,70,1
body_extracted_regex,16,11,1
body_extracted_regex,16,12,1
body_extracted_regex,16,13,1
body_extracted_regex,17,11,1
body_extracted_regex,17,12,1
body_extracted_regex,17,13,1
body_extracted_regex,17,16,1
body_extracted_regex,18,11,1
body_extracted_regex,18,12,1
body_extracted_regex,18,13,1
body_extracted_regex,18,16,1
body_extracted_regex,18,17,1
body_extracted_regex,19,11,1
body_extracted_regex,20,21,1
body_extracted_regex,21,20,1
body_extracted_regex,21,321,1
body_extracted_regex,22,16,1
body_extracted_regex,22,23,1
body_extracted_regex,22,34,1
body_extracted_regex,23,22,1
body_extracted_regex,32,39,1
body_extracted_regex,39,32,1
body_extracted_regex,42,16,1
body_extracted_regex,42,34,1
body_extracted_regex,42,62,1
body_extracted_regex,43,32,1
body_extracted_regex,43,44,1
body_extracted_regex,44,32,1
body_extracted_regex,44,43,1
body_extracted_regex,45,32,1
body_extracted_regex,45,43,1
body_extracted_regex,45,44,1
body_extracted_regex,46,32,1
body_extracted_regex,46,44,1
body_extracted_regex,46,49,1
body_extracted_regex,46,65,1
body_extracted_regex,46,84,1
body_extracted_regex,46,86,1
body_extracted_regex,47,32,1
body_extracted_regex,47,43,1
body_extracted_regex,47,44,1
body_extracted_regex,48,32,1
body_extracted_regex,48,43,1
body_extracted_regex,48,44,1
body_extracted_regex,48,67,1
body_extracted_regex,49,16,1
body_extracted_regex,49,32,1
body_extracted_regex,49,43,1
body_extracted_regex,49,44,1
body_extracted_regex,49,141,1
body_extracted_regex,53,2,1
body_extracted_regex,53,37,1
body_extracted_regex,53,64,1
body_extracted_regex,53,66,1
body_extracted_regex,53,141,1
body_extracted_regex,54,16,1
body_extracted_regex,54,30,1
body_extracted_regex,54,34,1
body_extracted_regex,54,94,1
body_extracted_regex,60,14,1
body_extracted_regex,60,37,1
body_extracted_regex,62,34,1
body_extracted_regex,65,9,1
body_extracted_regex,65,66,1
body_extracted_regex,66,34,1
body_extracted_regex,66,62,1
body_extracted_regex,67,11,1
body_extracted_regex,67,16,1
body_extracted_regex,67,45,1
body_extracted_regex,68,9,1
body_extracted_regex,68,112,1
body_extracted_regex,68,113,1
body_extracted_regex,69,30,1
body_extracted_regex,70,71,1
body_extracted_regex,70,72,1
body_extracted_regex,72,21,1
body_extracted_regex,72,70,1
body_extracted_regex,73,70,1
body_extracted_regex,74,70,1
body_extracted_regex,75,32,1
body_extracted_regex,75,70,1
body_extracted_regex,77,21,1
body_extracted_regex,77,78,1
body_extracted_regex,77,174,1
body_extracted_regex,77,321,1
body_extracted_regex,77,324,1
body_extracted_regex,78,21,1
body_extracted_regex,78,79,1
body_extracted_regex,79,21,1
body_extracted_regex,79,69,1
body_extracted_regex,79,125,1
body_extracted_regex,80,32,1
body_extracted_regex,80,43,1
body_extracted_regex,80,44,1
body_extracted_regex,81,32,1
body_extracted_regex,81,43,1
body_extracted_regex,81,44,1
body_extracted_regex,81,80,1
body_extracted_regex,83,32,1
body_extracted_regex,83,44,1
body_extracted_regex,83,45,1
body_extracted_regex,84,32,1
body_extracted_regex,84,43,1
body_extracted_regex,84,44,1
body_extracted_regex,84,49,1
body_extracted_regex,84,141,1
body_extracted_regex,84,173,1
body_extracted_regex,85,32,1
body_extracted_regex,85,39,1
body_extracted_regex,85,44,1
body_extracted_regex,86,32,1
body_extracted_regex,86,43,1
body_extracted_regex,86,44,1
body_extracted_regex,86,49,1
body_extracted_regex,86,84,1
body_extracted_regex,86,341,1
body_extracted_regex,87,32,1
body_extracted_regex,87,39,1
body_extracted_regex,87,43,1
body_extracted_regex,87,44,1
body_extracted_regex,87,45,1
body_extracted_regex,87,49,1
body_extracted_regex,87,67,1
body_extracted_regex,87,84,1
body_extracted_regex,87,129,1
body_extracted_regex,87,174,1
body_extracted_regex,88,32,1
body_extracted_regex,88,43,1
body_extracted_regex,88,44,1
body_extracted_regex,88,45,1
body_extracted_regex,88,49,1
body_extracted_regex,88,84,1
body_extracted_regex,89,3,1
body_extracted_regex,89,32,1
body_extracted_regex,89,340,1
body_extracted_regex,89,341,1
body_extracted_regex,90,9,1
body_extracted_regex,90,34,1
body_extracted_regex,90,65,1
body_extracted_regex,90,66,1
body_extracted_regex,91,9,1
body_extracted_regex,91,16,1
body_extracted_regex,91,66,1
body_extracted_regex,91,141,1
body_extracted_regex,91,143,1
body_extracted_regex,91,147,1
body_extracted_regex,91,148,1
body_extracted_regex,91,149,1
body_extracted_regex,93,32,1
body_extracted_regex,93,39,1
body_extracted_regex,93,173,1
